LFS,LFW,Load,T,P,W,DOY,N,Y
0.0,0.157063557,9.550645,1,1,1,1,1,1
0.0,0.094708579,9.1602375,2,1,1,1,1,1
0.0,0.102138803,8.82932,3,1,1,1,1,1
0.0,0.172572938,8.59683,4,1,1,1,1,1
0.0,0.198245968,8.546285,5,1,1,1,1,1
0.0,0.200897798,8.7800575,6,1,1,1,1,1
0.0,0.210305419,9.3631375,7,1,1,1,1,1
0.0,0.224360118,9.697965,8,1,1,1,1,1
8.47e-7,0.265389539,10.2720525,9,1,1,1,1,1
0.012809115,0.244501278,10.701575,10,1,1,1,1,1
0.057197793,0.232659837,10.95351,11,1,1,1,1,1
0.110105562,0.172423773,11.199595,12,1,1,1,1,1
0.181048876,0.173897578,11.2659225,13,1,1,1,1,1
0.197547735,0.228735638,11.055615,14,1,1,1,1,1
0.12376811,0.178431187,10.8299325,15,1,1,1,1,1
0.059529494,0.170642712,10.84768,16,1,1,1,1,1
0.00973066,0.218297882,11.05596,17,1,1,1,1,1
0.0,0.281369365,11.823345,18,1,1,1,1,1
0.0,0.287885472,11.93087,19,1,1,1,1,1
0.0,0.248494322,11.58667,20,1,1,1,1,1
0.0,0.22667027,10.979085,21,1,1,1,1,1
0.0,0.174115589,10.5519625,22,1,1,1,1,1
0.0,0.138987766,10.80776,23,1,1,1,1,1
0.0,0.118777762,10.81322,24,1,1,1,1,1
0.0,0.157063557,9.550645,25,1,1,1,1,1
0.0,0.094708579,9.1602375,26,1,1,1,1,1
0.0,0.102138803,8.82932,27,1,1,1,1,1
0.0,0.172572938,8.59683,28,1,1,1,1,1
0.0,0.198245968,8.546285,29,1,1,1,1,1
0.0,0.200897798,8.7800575,30,1,1,1,1,1
0.0,0.210305419,9.3631375,31,1,1,1,1,1
0.0,0.224360118,9.697965,32,1,1,1,1,1
8.47e-7,0.265389539,10.2720525,33,1,1,1,1,1
0.012809115,0.244501278,10.701575,34,1,1,1,1,1
0.057197793,0.232659837,10.95351,35,1,1,1,1,1
0.110105562,0.172423773,11.199595,36,1,1,1,1,1
0.181048876,0.173897578,11.2659225,37,1,1,1,1,1
0.197547735,0.228735638,11.055615,38,1,1,1,1,1
0.12376811,0.178431187,10.8299325,39,1,1,1,1,1
0.059529494,0.170642712,10.84768,40,1,1,1,1,1
0.00973066,0.218297882,11.05596,41,1,1,1,1,1
0.0,0.281369365,11.823345,42,1,1,1,1,1
0.0,0.287885472,11.93087,43,1,1,1,1,1
0.0,0.248494322,11.58667,44,1,1,1,1,1
0.0,0.22667027,10.979085,45,1,1,1,1,1
0.0,0.174115589,10.5519625,46,1,1,1,1,1
0.0,0.138987766,10.80776,47,1,1,1,1,1
0.0,0.118777762,10.81322,48,1,1,1,1,1
0.0,0.158632982,11.024285,49,1,1,1,1,1
0.0,0.166658592,10.5506775,50,1,1,1,1,1
0.0,0.176514986,10.0569825,51,1,1,1,1,1
0.0,0.182425507,9.827125,52,1,1,1,1,1
0.0,0.191975919,9.65936,53,1,1,1,1,1
0.0,0.199867664,10.0733075,54,1,1,1,1,1
0.0,0.212893504,11.06534,55,1,1,1,1,1
0.0,0.236626107,11.9292375,56,1,1,1,1,1
0.005092659,0.254420142,12.1747925,57,1,1,1,1,1
0.039710883,0.272866934,12.304415,58,1,1,1,1,1
0.077713206,0.298412472,12.33486,59,1,1,1,1,1
0.099540095,0.31264566,12.46804,60,1,1,1,1,1
0.112555795,0.302544482,12.189935,61,1,1,1,1,1
0.098751008,0.291585285,12.1607175,62,1,1,1,1,1
0.079463252,0.29735429,11.9822725,63,1,1,1,1,1
0.05928481,0.283321264,11.956255,64,1,1,1,1,1
0.022193493,0.323036244,11.84756,65,1,1,1,1,1
0.000872059,0.352992998,12.23219,66,1,1,1,1,1
0.0,0.39477972,12.47182,67,1,1,1,1,1
0.0,0.468746653,12.074095,68,1,1,1,1,1
0.0,0.529836913,11.58644,69,1,1,1,1,1
0.0,0.518528388,10.9747,70,1,1,1,1,1
0.0,0.474551356,10.95216,71,1,1,1,1,1
0.0,0.477501517,10.8215975,72,1,1,1,1,1
0.0,0.542300235,9.98403,73,1,1,1,1,1
0.0,0.550746322,9.56964,74,1,1,1,1,1
0.0,0.545006263,9.2698675,75,1,1,1,1,1
