T,P,DOY,W,Load,LFW,LFS,N,Y
1,1,2,10.0,9.550645,0.157063557,0.0,1,1
2,1,2,10.0,9.1602375,0.094708579,0.0,1,1
3,1,2,10.0,8.82932,0.102138803,0.0,1,1
4,1,2,10.0,8.59683,0.172572938,0.0,1,1
5,1,2,10.0,8.546285,0.198245968,0.0,1,1
6,1,2,10.0,8.7800575,0.200897798,0.0,1,1
7,1,2,10.0,9.3631375,0.210305419,0.0,1,1
8,1,2,10.0,9.697965,0.224360118,0.0,1,1
9,1,2,10.0,10.2720525,0.265389539,8.47e-7,1,1
10,1,2,10.0,10.701575,0.244501278,0.012809115,1,1
11,1,2,10.0,10.95351,0.232659837,0.057197793,1,1
12,1,2,10.0,11.199595,0.172423773,0.110105562,1,1
13,1,2,10.0,11.2659225,0.173897578,0.181048876,1,1
14,1,2,10.0,11.055615,0.228735638,0.197547735,1,1
15,1,2,10.0,10.8299325,0.178431187,0.12376811,1,1
16,1,2,10.0,10.84768,0.170642712,0.059529494,1,1
17,1,2,10.0,11.05596,0.218297882,0.00973066,1,1
18,1,2,10.0,11.823345,0.281369365,0.0,1,1
19,1,2,10.0,11.93087,0.287885472,0.0,1,1
20,1,2,10.0,11.58667,0.248494322,0.0,1,1
21,1,2,10.0,10.979085,0.22667027,0.0,1,1
22,1,2,10.0,10.5519625,0.174115589,0.0,1,1
23,1,2,10.0,10.80776,0.138987766,0.0,1,1
24,1,2,10.0,10.81322,0.118777762,0.0,1,1
1,2,32,8.0,11.024285,0.158632982,0.0,1,1
2,2,32,8.0,10.5506775,0.166658592,0.0,1,1
3,2,32,8.0,10.0569825,0.176514986,0.0,1,1
4,2,32,8.0,9.827125,0.182425507,0.0,1,1
5,2,32,8.0,9.65936,0.191975919,0.0,1,1
6,2,32,8.0,10.0733075,0.199867664,0.0,1,1
7,2,32,8.0,11.06534,0.212893504,0.0,1,1
8,2,32,8.0,11.9292375,0.236626107,0.0,1,1
9,2,32,8.0,12.1747925,0.254420142,0.005092659,1,1
10,2,32,8.0,12.304415,0.272866934,0.039710883,1,1
11,2,32,8.0,12.33486,0.298412472,0.077713206,1,1
12,2,32,8.0,12.46804,0.31264566,0.099540095,1,1
13,2,32,8.0,12.189935,0.302544482,0.112555795,1,1
14,2,32,8.0,12.1607175,0.291585285,0.098751008,1,1
15,2,32,8.0,11.9822725,0.29735429,0.079463252,1,1
16,2,32,8.0,11.956255,0.283321264,0.05928481,1,1
17,2,32,8.0,11.84756,0.323036244,0.022193493,1,1
18,2,32,8.0,12.23219,0.352992998,0.000872059,1,1
19,2,32,8.0,12.47182,0.39477972,0.0,1,1
20,2,32,8.0,12.074095,0.468746653,0.0,1,1
21,2,32,8.0,11.58644,0.529836913,0.0,1,1
22,2,32,8.0,10.9747,0.518528388,0.0,1,1
23,2,32,8.0,10.95216,0.474551356,0.0,1,1
24,2,32,8.0,10.8215975,0.477501517,0.0,1,1
1,3,40,17.0,10.85938,0.128285181,0.0,1,1
2,3,40,17.0,10.4627475,0.122062926,0.0,1,1
3,3,40,17.0,10.13552,0.126506458,0.0,1,1
4,3,40,17.0,10.0773275,0.122658743,0.0,1,1
5,3,40,17.0,10.06239,0.114491896,0.0,1,1
6,3,40,17.0,10.47394,0.110093105,0.0,1,1
7,3,40,17.0,11.5201475,0.107524324,0.0,1,1
8,3,40,17.0,12.50683,0.10858501,0.0,1,1
9,3,40,17.0,12.68904,0.098350262,0.002735558,1,1
10,3,40,17.0,12.9425025,0.079997774,0.020897256,1,1
11,3,40,17.0,12.95675,0.068210191,0.052654617,1,1
12,3,40,17.0,13.123685,0.070588004,0.088978861,1,1
13,3,40,17.0,12.9227125,0.070207161,0.118383354,1,1
14,3,40,17.0,12.9113275,0.068141442,0.130535462,1,1
15,3,40,17.0,12.721185,0.071693431,0.120721828,1,1
16,3,40,17.0,12.6344,0.081718661,0.087225428,1,1
17,3,40,17.0,12.5203075,0.101823682,0.043672404,1,1
18,3,40,17.0,12.5786225,0.119672017,0.006206016,1,1
19,3,40,17.0,13.062725,0.12361467,0.0,1,1
20,3,40,17.0,12.6530875,0.133633352,0.0,1,1
21,3,40,17.0,12.287485,0.147751826,0.0,1,1
22,3,40,17.0,11.7439775,0.15413122,0.0,1,1
23,3,40,17.0,11.81946,0.133632261,0.0,1,1
24,3,40,17.0,11.7214425,0.129919859,0.0,1,1
1,4,57,12.0,9.2652425,0.588331156,0.0,1,1
2,4,57,12.0,8.9044175,0.610821901,0.0,1,1
3,4,57,12.0,8.6324475,0.617739793,0.0,1,1
4,4,57,12.0,8.4068,0.584596623,0.0,1,1
5,4,57,12.0,8.318585,0.609187907,0.0,1,1
6,4,57,12.0,8.3513875,0.607815396,0.0,1,1
7,4,57,12.0,8.5700825,0.59969642,0.0,1,1
8,4,57,12.0,8.537845,0.596768034,0.000449576,1,1
9,4,57,12.0,8.921625,0.573384342,0.032929138,1,1
10,4,57,12.0,9.4544775,0.551191969,0.102464457,1,1
11,4,57,12.0,9.86275,0.519326916,0.139081645,1,1
12,4,57,12.0,10.2290975,0.520784057,0.16953007,1,1
13,4,57,12.0,10.260555,0.542546774,0.177038249,1,1
14,4,57,12.0,9.9634,0.547728683,0.150855296,1,1
15,4,57,12.0,9.6486925,0.569598814,0.115977147,1,1
16,4,57,12.0,9.51082,0.584481614,0.08498432,1,1
17,4,57,12.0,9.3827775,0.541657083,0.042374474,1,1
18,4,57,12.0,9.583995,0.534255285,0.010684846,1,1
19,4,57,12.0,10.236335,0.565603883,0.000248071,1,1
20,4,57,12.0,10.3986475,0.605039993,0.0,1,1
21,4,57,12.0,10.0646375,0.636943021,0.0,1,1
22,4,57,12.0,9.7158725,0.624030562,0.0,1,1
23,4,57,12.0,9.8203075,0.62882947,0.0,1,1
24,4,57,12.0,9.8567575,0.632018254,0.0,1,1
1,5,58,7.0,9.252785,0.599998047,0.0,1,1
2,5,58,7.0,8.82434,0.630673952,0.0,1,1
3,5,58,7.0,8.4468825,0.594008906,0.0,1,1
4,5,58,7.0,8.2063975,0.602615042,0.0,1,1
5,5,58,7.0,8.4266125,0.654723827,0.0,1,1
6,5,58,7.0,9.010835,0.719403299,0.0,1,1
7,5,58,7.0,10.03391,0.71523043,0.0,1,1
8,5,58,7.0,10.645805,0.7371917,0.000824647,1,1
9,5,58,7.0,11.106905,0.736237995,0.032474482,1,1
10,5,58,7.0,11.40379,0.73061992,0.081363156,1,1
11,5,58,7.0,11.541545,0.759617346,0.09967302,1,1
12,5,58,7.0,11.76636,0.76482638,0.087344807,1,1
13,5,58,7.0,11.6746225,0.773897976,0.083823549,1,1
14,5,58,7.0,11.81015,0.780654205,0.100042164,1,1
15,5,58,7.0,11.6063975,0.770184058,0.070608884,1,1
16,5,58,7.0,11.61123,0.776509546,0.053593563,1,1
17,5,58,7.0,11.3160825,0.733693695,0.04291549,1,1
18,5,58,7.0,11.2805925,0.728877427,0.015868097,1,1
19,5,58,7.0,11.7188475,0.75413598,0.000490216,1,1
20,5,58,7.0,11.61852,0.768718237,0.0,1,1
21,5,58,7.0,11.087055,0.751264013,0.0,1,1
22,5,58,7.0,10.492455,0.761800345,0.0,1,1
23,5,58,7.0,10.677795,0.741000013,0.0,1,1
24,5,58,7.0,10.5598775,0.688208769,0.0,1,1
1,6,82,5.0,9.727465,0.206325385,0.0,1,1
2,6,82,5.0,9.26559,0.188726109,0.0,1,1
3,6,82,5.0,8.9212825,0.180898266,0.0,1,1
4,6,82,5.0,8.9882625,0.173334631,0.0,1,1
5,6,82,5.0,9.0887725,0.180582714,0.0,1,1
6,6,82,5.0,9.54715,0.199046283,0.0,1,1
7,6,82,5.0,10.562895,0.196055486,0.002092096,1,1
8,6,82,5.0,11.2422075,0.216475481,0.071168526,1,1
9,6,82,5.0,11.512325,0.212792608,0.21808516,1,1
10,6,82,5.0,11.58252,0.181669498,0.397229052,1,1
11,6,82,5.0,11.42234,0.208829482,0.532478715,1,1
12,6,82,5.0,11.436655,0.247468092,0.640054457,1,1
13,6,82,5.0,11.15382,0.284263661,0.653376648,1,1
14,6,82,5.0,11.274685,0.362680079,0.558552449,1,1
15,6,82,5.0,11.05511,0.394300586,0.468654116,1,1
16,6,82,5.0,10.832385,0.423433041,0.456749233,1,1
17,6,82,5.0,10.6632275,0.452787987,0.305028651,1,1
18,6,82,5.0,10.741285,0.450302075,0.130960485,1,1
19,6,82,5.0,11.00071,0.455222555,0.019090484,1,1
20,6,82,5.0,11.4867225,0.541376965,5.08e-6,1,1
21,6,82,5.0,11.207915,0.606281315,0.0,1,1
22,6,82,5.0,10.57599,0.609914983,0.0,1,1
23,6,82,5.0,10.4854775,0.582689749,0.0,1,1
24,6,82,5.0,10.4103875,0.528653243,0.0,1,1
1,7,91,11.0,9.1019575,0.130385252,0.0,1,1
